Event.Num,Jet.PT,Jet.Eta,Jet.Phi,Jet.Mass,label
0,435.87405,1.1692591,2.1496988999999997,95.342636,0.0
1,356.08795,1.1123534,2.9285902999999998,92.816642,0.0
2,306.84622,1.5418005,-2.118808,83.307869,0.0
4,354.53042,2.3384001,-0.864499,107.29061999999999,0.0
5,399.03758999999997,1.0887787,-1.401475,111.32366,0.0
6,346.35165,-0.229487,0.9780892,82.723854,0.0
7,299.17434,2.2417891,-1.181541,68.972709,0.0
10,343.10894,-0.79633,-1.264972,93.74401,0.0
11,326.23042999999996,0.0357745,-2.885322,105.11868999999999,0.0
12,275.87857,-1.1119620000000001,-1.678103,96.796554,0.0
15,399.63479,-0.867028,2.86082,118.02038999999999,0.0
16,365.38815,-1.1498469999999998,0.752476,80.359352,0.0
17,376.87655,0.11555230000000001,2.1192057,87.397148,0.0
19,322.6083,-0.76705,2.6665456,81.927391,0.0
20,369.0483,-0.226661,2.1932833,83.473587,0.0
21,369.86822,-0.698284,-2.449798,84.05664,0.0
22,348.75662,-1.8061,1.6452490000000002,77.230064,0.0
23,359.72909,1.1854213,3.1395731,71.209907,0.0
24,323.09442,-0.048624,-2.915665,94.461952,0.0
26,337.17427999999995,0.24960149999999998,3.1270892000000003,126.33006999999999,0.0
27,379.11388999999997,-1.6034,-1.775759,100.14296,0.0
28,397.02187999999995,1.3889935,2.4080436,94.158462,0.0
29,321.61337000000003,-1.131513,2.969927,78.688087,0.0
30,424.93978,0.8173859,-1.5013370000000001,82.021774,0.0
31,359.24242999999996,1.4039173999999999,-0.215588,85.205337,0.0
34,485.77664000000004,0.8341508,2.0214578999999997,167.44068000000001,0.0
35,375.55798,-0.027326,-1.7476619999999998,95.93139599999999,0.0
36,357.98101,-0.42808599999999997,-0.6600739999999999,88.394462,0.0
38,362.65762,-0.199355,1.2272498,71.78517099999999,0.0
39,297.09167,1.562756,-1.849733,144.55978000000002,0.0
42,280.76925,-0.22348600000000002,-0.9662569999999999,93.88939599999999,0.0
44,407.16491,-0.038091,3.1073999,114.36776,0.0
45,388.51333,-1.4778209999999998,2.8787202,75.432785,0.0
46,378.08389,-0.954724,2.0871207,95.925956,0.0
47,291.85751,2.1340677,-0.326975,82.274299,0.0
50,390.75417999999996,-0.613584,-2.162212,98.66931899999999,0.0
51,332.55987000000005,-1.045056,-1.3177809999999999,87.483566,0.0
52,384.77584,0.5708565999999999,-1.256666,80.79878199999999,0.0
53,363.30688,0.5660158000000001,-1.387536,81.82779599999999,0.0
54,381.33206,-1.977423,0.6757622,70.231086,0.0
55,286.51153,-0.738244,0.033756699999999994,90.606475,0.0
56,276.14041000000003,0.6131164000000001,1.1788651,84.168487,0.0
59,317.98745,1.2343158,2.3982083,72.083396,0.0
60,374.56118,-0.814915,-0.594734,77.199401,0.0
61,340.85693,-1.805261,0.0763799,88.426239,0.0
62,311.38037,0.1382724,-0.22110500000000002,102.93234,0.0
63,318.69039,-0.493307,-0.308195,85.00875,0.0
66,422.45482999999996,0.5533293,-2.184932,81.638465,0.0
68,474.66927999999996,-0.375743,0.1740654,72.081634,0.0
69,493.60632000000004,0.3824343,2.3596859,96.172599,0.0
70,413.26376,-0.528991,-1.6092309999999999,79.55426700000001,0.0
71,388.45678,1.298565,-3.031476,92.87623599999999,0.0
73,323.42422,-0.9757120000000001,-1.578726,100.38747,0.0
74,336.68746,1.8999644,-0.5231439999999999,94.03351500000001,0.0
75,371.4877,-0.664168,-2.419618,76.323638,0.0
76,299.76416,-1.238844,-2.9020900000000003,38.292343,0.0
77,390.37352999999996,0.12719080000000002,2.423084,157.37288999999998,0.0
78,316.4393,-0.7295159999999999,-0.533762,106.86746000000001,0.0
79,332.42607999999996,-0.490992,0.1200789,105.48866000000001,0.0
80,386.14019,-0.810116,2.2924118,98.21243199999999,0.0
81,401.89137999999997,-0.512985,-2.8297630000000003,84.161491,0.0
83,318.01351,1.6954453999999999,-0.254205,97.337822,0.0
85,340.85388,1.1456961,-2.861682,103.56566,0.0
86,498.00042,1.6700075,-1.768099,100.2787,0.0
88,357.56802000000005,-2.3086439999999997,1.7524755,94.285652,0.0
89,394.47366,0.018549799999999998,1.9415371,90.61284599999999,0.0
90,324.67059,-1.989707,1.0191046000000001,82.029914,0.0
91,350.20471000000003,1.0424794,-0.470621,92.52861,0.0
93,354.03241,-1.407217,1.2620208000000002,80.73751800000001,0.0
94,357.75225,-1.313084,2.8728678,95.21582,0.0
96,596.92804,-1.0223719999999998,-0.258371,76.816932,0.0
97,403.39071,1.8256459999999999,-0.36894699999999997,109.94483999999999,0.0
98,378.20715,-0.406434,-0.35588400000000003,99.56701600000001,0.0
99,357.35336,0.2209402,2.4223172,78.024299,0.0
100,347.21487,-1.890252,-2.4148080000000003,78.466339,0.0
102,405.64071,2.2376367999999998,2.3590552000000002,99.348709,0.0
104,375.46499,-1.966507,0.9874146999999999,84.714073,0.0
106,433.92940999999996,-0.684,-1.2022950000000001,63.59103,0.0
107,362.24017000000003,1.4680287,2.390901,104.5909,0.0
108,366.97078999999997,-0.235844,2.4777851,91.482475,0.0
109,411.38259,-0.5651229999999999,2.0514473,120.54875,0.0
111,289.34643,-0.136319,2.3184337000000004,89.331909,0.0
113,364.38613,-0.57489,0.164251,103.87329,0.0
114,423.87912,0.8840648999999999,1.1890806,94.892379,0.0
115,412.32284,0.44784650000000004,0.1219328,80.851966,0.0
116,388.53073,0.46708950000000005,2.6701188,91.77494,0.0
117,355.24111,0.5450978,-0.573563,71.36116,0.0
118,442.25927,1.5466346000000002,1.0818709,148.57048,0.0
119,353.78332,0.35305040000000004,2.1110072,85.708236,0.0
120,368.32666,1.2530446000000002,-1.5022790000000001,97.71212,0.0
122,389.38201000000004,-0.007571,2.2294623,91.112533,0.0
123,261.5979,-0.073727,2.5460369,66.598274,0.0
124,367.00344,-0.067576,-2.548605,88.821823,0.0
127,357.31118,0.10746989999999998,-1.903418,67.184387,0.0
128,398.55557000000005,-0.574137,-2.512755,147.17439,0.0
129,391.06509,-0.993785,2.9759048999999997,88.733367,0.0
130,292.81277,0.613178,-1.95288,83.823181,0.0
131,285.8569,0.9472354,-0.313763,96.743675,0.0
133,373.37817,-0.742941,-0.028256,104.22699,0.0
135,282.41265,-0.003785,1.3182459999999998,76.27132399999999,0.0
136,337.57732999999996,1.0318723,0.8357616,95.55458,0.0
137,395.18096,0.5907566999999999,-0.7642909999999999,92.153083,0.0
138,384.63507000000004,1.6596566000000001,2.3037962000000003,97.135002,0.0
140,419.69253,-0.169601,-0.638622,107.00528,0.0
141,479.97552,-0.5082439999999999,-1.059078,93.546379,0.0
